Event_Number,Event_Date,Event_Return,Entry_Date,Entry_Price,Holding_Period,Exit_Date,Exit_Price,Forward_Return
129,2014-07-08,-0.021053878387766067,2014-07-09,7637.9501953125,3,2014-07-11,7459.60009765625,-0.023350518541703225
129,2014-07-08,-0.021053878387766067,2014-07-09,7637.9501953125,5,2014-07-15,7526.64990234375,-0.014572010830478654
130,2015-01-06,-0.029963988501869876,2015-01-07,8118.64990234375,1,2015-01-07,8102.10009765625,-0.002038492223038535
130,2015-01-06,-0.029963988501869876,2015-01-07,8118.64990234375,3,2015-01-09,8284.5,0.02042828544785147
130,2015-01-06,-0.029963988501869876,2015-01-07,8118.64990234375,5,2015-01-13,8299.400390625,0.022263614080596072
131,2015-03-09,-0.02025118178512486,2015-03-10,8769.75,1,2015-03-10,8712.0498046875,-0.006579457260754262
131,2015-03-09,-0.02025118178512486,2015-03-10,8769.75,3,2015-03-12,8776.0,0.0007126771002594623
131,2015-03-09,-0.02025118178512486,2015-03-10,8769.75,5,2015-03-16,8633.150390625,-0.015576226160951001
132,2015-03-26,-0.022113918786236364,2015-03-27,8396.0,1,2015-03-27,8341.400390625,-0.006503050187589343
132,2015-03-26,-0.022113918786236364,2015-03-27,8396.0,3,2015-03-31,8491.0,0.011314911862791766
132,2015-03-26,-0.022113918786236364,2015-03-27,8396.0,5,2015-04-06,8659.900390625,0.03143168063661261
133,2015-05-06,-0.02736399793773192,2015-05-07,8077.0,1,2015-05-07,8057.2998046875,-0.0024390485715611865
133,2015-05-06,-0.02736399793773192,2015-05-07,8077.0,3,2015-05-11,8325.25,0.0307354215674136
133,2015-05-06,-0.02736399793773192,2015-05-07,8077.0,5,2015-05-13,8235.4501953125,0.019617456396248567
134,2015-05-12,-0.02381908107113906,2015-05-13,8181.5498046875,1,2015-05-13,8235.4501953125,0.006588041619464136
134,2015-05-12,-0.02381908107113906,2015-05-13,8181.5498046875,3,2015-05-15,8262.349609375,0.00987585562838067
134,2015-05-12,-0.02381908107113906,2015-05-13,8181.5498046875,5,2015-05-19,8365.650390625,0.02250192082581015
135,2015-06-02,-0.023353592405198742,2015-06-03,8232.4501953125,1,2015-06-03,8135.10009765625,-0.011825166912237228
135,2015-06-02,-0.023353592405198742,2015-06-03,8232.4501953125,3,2015-06-05,8114.7001953125,-0.01430315364276924
135,2015-06-02,-0.023353592405198742,2015-06-03,8232.4501953125,5,2015-06-09,8022.39990234375,-0.02551491815745832
136,2015-08-24,-0.05915098088055637,2015-08-25,7895.39990234375,1,2015-08-25,7880.7001953125,-0.001861806521907372
136,2015-08-24,-0.05915098088055637,2015-08-25,7895.39990234375,3,2015-08-27,7948.9501953125,0.006782467466005526
136,2015-08-24,-0.05915098088055637,2015-08-25,7895.39990234375,5,2015-08-31,7971.2998046875,0.00961318024198099
137,2015-09-01,-0.023264675971940818,2015-09-02,7856.64990234375,1,2015-09-02,7717.0,-0.01777473911648919
137,2015-09-01,-0.023264675971940818,2015-09-02,7856.64990234375,3,2015-09-04,7655.0498046875,-0.025659804135616304
137,2015-09-01,-0.023264675971940818,2015-09-02,7856.64990234375,5,2015-09-08,7688.25,-0.02143405961025624
138,2015-09-04,-0.021468770971813878,2015-09-07,7685.85009765625,1,2015-09-07,7558.7998046875,-0.016530415159605183
138,2015-09-04,-0.021468770971813878,2015-09-07,7685.85009765625,3,2015-09-09,7818.60009765625,0.017271999624411283
138,2015-09-04,-0.021468770971813878,2015-09-07,7685.85009765625,5,2015-09-11,7789.2998046875,0.013459761212724741
139,2015-09-22,-0.02069675641963653,2015-09-23,7737.35009765625,1,2015-09-23,7845.9501953125,0.01403582573950568
139,2015-09-22,-0.02069675641963653,2015-09-23,7737.35009765625,3,2015-09-28,7795.7001953125,0.0075413542000541955
139,2015-09-22,-0.02069675641963653,2015-09-23,7737.35009765625,5,2015-09-30,7948.89990234375,0.027341376830238184
140,2016-01-07,-0.022309804329221028,2016-01-08,7611.64990234375,1,2016-01-08,7601.35009765625,-0.0013531632194918597
140,2016-01-07,-0.022309804329221028,2016-01-08,7611.64990234375,3,2016-01-12,7510.2998046875,-0.013315128645767449
140,2016-01-07,-0.022309804329221028,2016-01-08,7611.64990234375,5,2016-01-14,7536.7998046875,-0.009833623277024639
141,2016-02-11,-0.03317073758299127,2016-02-12,7023.64990234375,1,2016-02-12,6980.9501953125,-0.0060794184825472275
141,2016-02-11,-0.03317073758299127,2016-02-12,7023.64990234375,3,2016-02-16,7048.25,0.003502466381196001
141,2016-02-11,-0.03317073758299127,2016-02-12,7023.64990234375,5,2016-02-18,7191.75,0.023933439165320092
142,2016-04-05,-0.02005459778469787,2016-04-06,7636.0498046875,1,2016-04-06,7614.35009765625,-0.002841745088923986
142,2016-04-05,-0.02005459778469787,2016-04-06,7636.0498046875,3,2016-04-08,7555.2001953125,-0.010587883977049128
142,2016-04-05,-0.02005459778469787,2016-04-06,7636.0498046875,5,2016-04-12,7708.9501953125,0.00954687207255378
143,2016-06-24,-0.021987932139331257,2016-06-27,8039.35009765625,1,2016-06-27,8094.7001953125,0.0068848970356927275
143,2016-06-24,-0.021987932139331257,2016-06-27,8039.35009765625,3,2016-06-29,8204.0,0.020480499088073145
143,2016-06-24,-0.021987932139331257,2016-06-27,8039.35009765625,5,2016-07-01,8328.349609375,0.035948118717084254
144,2016-11-11,-0.026912611243878892,2016-11-15,8284.849609375,1,2016-11-15,8108.4501953125,-0.021291806415277503
144,2016-11-11,-0.026912611243878892,2016-11-15,8284.849609375,3,2016-11-17,8079.9501953125,-0.024731820578932306
144,2016-11-11,-0.026912611243878892,2016-11-15,8284.849609375,5,2016-11-21,7929.10009765625,-0.04293976698336077
145,2016-11-15,-0.022642577269069153,2016-11-16,8205.650390625,1,2016-11-16,8111.60009765625,-0.011461650020600844
145,2016-11-15,-0.022642577269069153,2016-11-16,8205.650390625,3,2016-11-18,8074.10009765625,-0.01603167167821906
145,2016-11-15,-0.022642577269069153,2016-11-16,8205.650390625,5,2016-11-22,8002.2998046875,-0.024781775515299698
146,2018-02-02,-0.023264327729431322,2018-02-05,10604.2998046875,1,2018-02-05,10666.5498046875,0.005870260285595119
146,2018-02-02,-0.023264327729431322,2018-02-05,10604.2998046875,3,2018-02-07,10476.7001953125,-0.012032817981871502
146,2018-02-02,-0.023264327729431322,2018-02-05,10604.2998046875,5,2018-02-09,10454.9501953125,-0.014083872780452866
147,2018-10-04,-0.023852830796859514,2018-10-05,10514.099609375,1,2018-10-05,10316.4501953125,-0.01879851070521188
147,2018-10-04,-0.023852830796859514,2018-10-05,10514.099609375,3,2018-10-09,10301.0498046875,-0.020263247696220454
147,2018-10-04,-0.023852830796859514,2018-10-05,10514.099609375,5,2018-10-11,10234.650390625,-0.026578521141346845
148,2018-10-05,-0.026681114672028716,2018-10-08,10310.150390625,1,2018-10-08,10348.0498046875,0.0036759322247095216
148,2018-10-05,-0.026681114672028716,2018-10-08,10310.150390625,3,2018-10-10,10460.099609375,0.014543843985665772
148,2018-10-05,-0.026681114672028716,2018-10-08,10310.150390625,5,2018-10-12,10472.5,0.015746580139376354
149,2018-10-11,-0.021553257346415555,2018-10-12,10331.5498046875,1,2018-10-12,10472.5,0.013642696205031113
149,2018-10-11,-0.021553257346415555,2018-10-12,10331.5498046875,3,2018-10-16,10584.75,0.024507474686674913
149,2018-10-11,-0.021553257346415555,2018-10-12,10331.5498046875,5,2018-10-19,10303.5498046875,-0.002710145189185109
150,2019-07-08,-0.02138240331360608,2019-07-09,11531.599609375,1,2019-07-09,11555.900390625,0.0021073209331898823
150,2019-07-08,-0.02138240331360608,2019-07-09,11531.599609375,3,2019-07-11,11582.900390625,0.004448713360485801
150,2019-07-08,-0.02138240331360608,2019-07-09,11531.599609375,5,2019-07-15,11588.349609375,0.004921260009223882
151,2019-09-03,-0.02044311880570615,2019-09-04,10790.400390625,1,2019-09-04,10844.650390625,0.005027616959156989
151,2019-09-03,-0.02044311880570615,2019-09-04,10790.400390625,3,2019-09-06,10946.2001953125,0.01443874175631743
151,2019-09-03,-0.02044311880570615,2019-09-04,10790.400390625,5,2019-09-11,11035.7001953125,0.02273315130183895
152,2020-02-03,-0.021250384719316173,2020-02-04,11786.25,1,2020-02-04,11979.650390625,0.016408984250715797
152,2020-02-03,-0.021250384719316173,2020-02-04,11786.25,3,2020-02-06,12137.9501953125,0.02983987233534835
152,2020-02-03,-0.021250384719316173,2020-02-04,11786.25,5,2020-02-10,12031.5,0.020808145084314278
153,2020-02-24,-0.02081386879900149,2020-02-25,11877.5,1,2020-02-25,11797.900390625,-0.006701714112818391
153,2020-02-24,-0.02081386879900149,2020-02-25,11877.5,3,2020-02-27,11633.2998046875,-0.020559898573984436
153,2020-02-24,-0.02081386879900149,2020-02-25,11877.5,5,2020-03-02,11132.75,-0.06270258892864655
154,2020-02-28,-0.03709607866493836,2020-03-02,11387.349609375,1,2020-03-02,11132.75,-0.02235810949067485
154,2020-02-28,-0.03709607866493836,2020-03-02,11387.349609375,3,2020-03-04,11251.0,-0.011973779154259567
154,2020-02-28,-0.03709607866493836,2020-03-02,11387.349609375,5,2020-03-06,10989.4501953125,-0.03494223218850823
155,2020-03-06,-0.024806975302821943,2020-03-09,10742.0498046875,1,2020-03-09,10451.4501953125,-0.027052528582411806
155,2020-03-06,-0.024806975302821943,2020-03-09,10742.0498046875,3,2020-03-12,9590.150390625,-0.10723273816509826
155,2020-03-06,-0.024806975302821943,2020-03-09,10742.0498046875,5,2020-03-16,9197.400390625,-0.14379466136793206
156,2020-03-09,-0.048956043335951605,2020-03-11,10334.2998046875,1,2020-03-11,10458.400390625,0.012008610963774258
156,2020-03-09,-0.048956043335951605,2020-03-11,10334.2998046875,3,2020-03-13,9955.2001953125,-0.03668362797090963
156,2020-03-09,-0.048956043335951605,2020-03-11,10334.2998046875,5,2020-03-17,8967.0498046875,-0.13230214197771129
157,2020-03-12,-0.08301938801064712,2020-03-13,9107.599609375,1,2020-03-13,9955.2001953125,0.09306520074345537
157,2020-03-12,-0.08301938801064712,2020-03-13,9107.599609375,3,2020-03-17,8967.0498046875,-0.015432145759111338
157,2020-03-12,-0.08301938801064712,2020-03-13,9107.599609375,5,2020-03-19,8263.4501953125,-0.09268626754228038
158,2020-03-16,-0.07612100106679087,2020-03-17,9285.400390625,1,2020-03-17,8967.0498046875,-0.03428506823022115
158,2020-03-16,-0.07612100106679087,2020-03-17,9285.400390625,3,2020-03-19,8263.4501953125,-0.11005989535403471
158,2020-03-16,-0.07612100106679087,2020-03-17,9285.400390625,5,2020-03-23,7610.25,-0.18040690978886753
